Assignee,L1,L2 - D1,L2 - D2,L3,L4,Avg Fixed,Avg Closed,Avg Reopened,Total Components,Priority Points,Severity Points
3,0.18228,0.12134,0.13330,0.11891,0.08173,-832.834577601,2732.441812309,0,2,4,12
153,0.13214,0.11744,0.08026,0.11713,0.08496,1966.43890684,10906.07500806,0,1,2,6
462,0.02547,0.01875,0.01265,0.11757,0.08496,9.558618758,4656.959584101,0,1,5,12
6,0.11630,0.12754,0.13475,0.11879,0.08522,445.251788087143,5716.29162767457,2.89855072463768,4,17,42
503,0.08449,0.11607,0.07065,0.11675,0.08522,1408.2271561595,6676.240836726,0,2,11,24
886,0.04059,0.11390,0.12293,0.01473,0.08167,637.80417771,1014.257227228,0,1,2,6
501,0.01925,0.02829,0.00345,0.11611,0.04549,111.729725206,6562.818480877,0,2,5,12
88,0.07569,0.04029,0.00994,0.11698,0.08182,2014.829740486,6428.166960578,0,1,3,6
73,0.23825,0.11510,0.13236,0.07310,0.08555,1454.43516291073,14059.3152579194,2.47933884297521,4,115,246
123,0.33884,0.11634,0.13303,0.12571,0.08561,465.240959159347,12951.0401706169,1.48619957537155,3,712,1515
60,0.05101,0.11362,0.13200,0.00712,0.08496,-3713.296383526,1050.315570208,3.2258064516129,1,2,6
155,0.15179,0.11996,0.08468,0.11774,0.08496,44.873201543,7851.093196919,6.66666666666667,2,6,12
77,0.13168,0.11779,0.13361,0.11843,0.08496,716.74861491,5450.126112812,0,3,6,18
1310,0.06342,0.13050,0.12171,0.11611,0.08167,41.5546308733333,3637.81435650333,0,3,6,18
310,0.10267,0.05166,0.02736,0.11611,0.08522,365.518611926,3184.97994830062,4.93827160493827,5,29,90
380,0.08098,0.06956,0.02814,0.11837,0.08496,253.3399474364,7106.8326133772,2.38095238095238,3,14,30
136,0.08472,0.11766,0.06700,0.12084,0.08502,1255.25190074967,4424.593889364,2.73972602739726,4,15,33
504,0.08868,0.03614,0.01509,0.11709,0.08511,32.3596299173333,4005.923195983,4.76190476190476,3,10,36
42,0.12560,0.05667,0.04433,0.11747,0.08496,312.621587798857,5907.74611136514,0,2,17,42
166,0.04867,0.11315,0.12010,0.11728,0.08167,45.204461408,5290.60834182,0,1,1,6
173,0.08075,0.11395,0.13179,0.11721,0.08234,5.058615158,4364.70696101,0,1,3,6
2,0.03772,0.04563,0.01265,0.11629,0.08496,57.253062958,1033.131667572,0,1,2,6
