Assignee,L1,L2 - D1,L2 - D2,L3,L4,Avg Fixed,Avg Closed,Avg Reopened,Total Components,Priority Points,Severity Points
18,0.15950,0.11874,0.12752,0.11761,0.08522,1000.260975631,7916.90833566,6.06060606060606,2,10,24
256,0.11561,0.11510,0.13281,0.11713,0.08266,0,4867.799460284,0,1,3,6
164,0.12705,0.11939,0.08255,0.11635,0.08496,50.7782429633333,4044.213336704,0,3,7,18
190,0.07208,0.01227,0.00817,0.11793,0.08511,674.285927754667,5825.42953818067,0,3,7,15
500,0.04210,0.11608,0.07491,0.11611,0.08522,554.340303157091,6942.42394104218,0,1,34,66
251,0.05103,0.11362,0.12043,0.01076,0.08496,0,2495.194740778,12.5,1,1,6
253,0.09270,0.11613,0.12306,0.11765,0.08522,562.4435562304,5588.9496680664,0,3,15,30
167,0.03719,0.11573,0.12034,0.11611,0.08167,551.508481429,12095.057925513,0,1,6,12
187,0.03776,0.02553,0.01105,0.11668,0.08496,9.570007656,47.791963478,0,1,2,6
270,0.17942,0.11709,0.13281,0.11746,0.08496,685.715117112833,5529.68967727767,5.26315789473684,4,32,69
1090,0.05022,0.01641,0.00944,0.11786,0.08496,86.242782772,223.934450792,0,2,7,15
32,0.04391,0.11676,0.13366,0.01080,0.08173,412.965652120667,1069.726115692,0,3,8,18
242,0.02457,0.00370,0.00438,0.11611,0.08167,5.146115228,5128.0000128,0,1,3,6
1900,0.06225,0.05191,0.02759,0.11777,0.08266,72.228472405,124.92361505,0,1,6,12
71697,0.07186,0.11708,0.13164,0.02553,0.08227,3428.2222288,3764.232506586,0,2,6,12
759,0.00238,0.01112,0.00046,0.01289,0.08167,449.163624842,499.917793712,0,1,2,6
32006,0.05653,0.11708,0.06640,0.11743,0.08496,184.8170177425,6290.6349326635,0,3,12,24
146,0.01925,0.00497,0.00235,0.11611,0.08167,120.556250445,2133.300424107,0,2,6,12
148,0.04344,0.11795,0.12055,0.00819,0.08522,-6149.683040902,4002.738626102,4.44444444444444,1,1,6
497,0.07700,0.11300,0.11989,0.11747,0.08167,21.236396278,14815.355144773,0,1,6,12
286,0.02645,0.01684,0.00443,0.11611,0.08496,988.7217374885,3351.6671533115,0,1,18,48
50,0.15872,0.12317,0.12855,0.12116,0.08522,2607.825845994,18130.817230876,6.25,1,1,6
307,0.06405,0.03729,0.01889,0.11846,0.08167,254.049307195,3544.807226068,0,2,4,12
544,0.02645,0.12286,0.12223,0.01304,0.08167,480.986945234,2741.1039446876,0,2,12,30
315,0.05040,0.11315,0.12010,0.01716,0.08167,0,284.934461192,0,1,3,6
298,0.10881,0.11982,0.13322,0.11913,0.08511,1721.355420951,3872.916530111,6.06060606060606,3,11,21
378,0.07424,0.11592,0.13316,0.11690,0.08167,33.624174366,117.868341228,0,1,2,12
10,0.02480,0.02943,0.02641,0.01260,0.08528,116.86073145525,398.3382657595,9.87654320987654,4,18,48
492,0.05565,0.00925,0.00571,0.01087,0.01362,555.908614238,2253.608072842,0,1,2,6
22,0.12098,0.12240,0.13446,0.11877,0.08528,235.219076649333,604.492870764667,3.84615384615385,3,12,36
17,0.00839,0.01589,0.01095,0.00936,0.08167,7.49408006933333,541.561671116,0,1,8,18
24,0.02543,0.11676,0.06635,0.01338,0.08496,340.575094119333,686.850433312445,4.93827160493827,5,20,48
186,0.13595,0.12063,0.12566,0.11713,0.08522,336.165866145765,2382.36650384353,1.70940170940171,2,36,99
569,0.00708,0.02604,0.00133,0.00222,0.08496,269.9834075645,2277.6232667875,12.1212121212121,2,10,21
573,0.04015,0.02263,0.00834,0.00671,0.08496,104.037223166286,1549.59127248571,0,2,14,36
557,0.01496,0.02263,0.01238,0.00618,0.08496,6093.65315267067,6346.51102052733,8.88888888888889,1,8,18
566,0.02129,0.02263,0.00626,0.02043,0.08555,955.849380344462,3447.27697119081,0.87527352297593,6,129,303
574,0.00052,0.02263,0.00135,0.00037,0.08167,5.56389334,170.338612982,0,2,5,9
572,0.02078,0.02263,0.01334,0.01881,0.08496,447.357434262667,3010.51833351943,5.69105691056911,5,45,117
588,0.00519,0.02263,0.00143,0.00045,0.04549,4816.473902068,5109.021405706,0,1,3,6
587,0.00496,0.02263,0.00082,0.00122,0.08496,796.395651664667,1834.24768698333,0,2,8,18
197,0.00950,0.00646,0.00598,0.02052,0.08167,316.95000396,1348.8659066705,0,2,6,24
38918,0.05977,0.03628,0.01657,0.11836,0.08496,2192.8132661395,7594.434309103,0,3,12,24
200,0.01181,0.00646,0.00598,0.00819,0.08233,112.066906644,269.510319125714,5,2,7,42
445,0.04490,0.05783,0.02769,0.02052,0.08496,9030.04861595,9030.053060398,0,1,3,6
147,0.03865,0.11666,0.12117,0.01009,0.08522,202.74584193,6066.768626126,0,1,2,6
21,0.00238,0.01589,0.00969,0.01289,0.08167,2.554446488,24.897778496,18.1818181818182,1,3,6
571,0.04418,0.02604,0.01326,0.00728,0.08502,1753.37698522857,3177.54873094057,4.10958904109589,3,32,78
603,0.00026,0.02263,0.00013,0.00036,0.04549,48.976806337,621.777225244,0,1,12,12
64,0.04238,0.03532,0.01264,0.11749,0.08167,13.576945706,86.633890996,8.33333333333333,2,4,12
615,0.00087,0.02263,0.00317,0.00095,0.08496,1192.478753583,1430.7702105495,0,2,10,18
20,0.00561,0.01589,0.01056,0.00842,0.01867,3.739725214,482.762779988,0,1,3,6
607,0.00113,0.02263,0.00012,0.00029,0.05210,114.312024744857,312.779524433143,0,1,18,27
578,0.03133,0.02263,0.00874,0.00517,0.08522,139.9182227968,504.700982042267,2,3,38,81
161,0.11440,0.11709,0.12330,0.11748,0.08496,958.395755427714,7213.78686513743,2.8169014084507,4,18,42
38,0.02299,0.00740,0.00446,0.01633,0.08496,3628.104725506,3628.112642179,0,1,6,12
6968,0.17768,0.13049,0.12923,0.12118,0.08537,98.2664462576,750.190001112,4.54545454545455,1,15,30
144,0.01936,0.01427,0.01185,0.00710,0.08496,85.368334428,307.520144905,0,1,2,12
529,0.11335,0.12285,0.13641,0.11756,0.08266,435.257919273,592.685837082,0,2,4,12
594,0.05487,0.02954,0.00882,0.01694,0.08511,1124.4353491705,1736.4064602585,0,2,9,15
459,0.03490,0.11639,0.12015,0.00848,0.08496,124.315697897,168.205139053,0,1,2,12
71751,0.00641,0.01589,0.01671,0.01338,0.08266,246.0145139005,641.625837834,0,4,10,24
249,0.03494,0.12560,0.12010,0.01276,0.08496,3.31111376,10.490563948,0,1,3,6
23,0.06893,0.11954,0.13265,0.11845,0.08502,102.388338444,621.953801059333,0,2,6,18
238,0.05757,0.02263,0.01334,0.02392,0.08522,1798.4009062985,3236.526529799,0,3,7,24
584,0.00367,0.02263,0.00619,0.00064,0.08167,198.171192670286,910.710477901714,0,1,15,42
5,0.08606,0.11398,0.12035,0.11774,0.08167,152.965146061,787.612367201,0,1,6,12
72282,0.04115,0.03416,0.02010,0.02317,0.08266,164.614590225,2136.864445136,5.12820512820513,2,4,12
133,0.03635,0.11398,0.11989,0.00620,0.08167,0.709167234,2545.131112016,0,1,3,6
216,0.05832,0.11737,0.12035,0.11826,0.08167,3179.6306127356,5814.22916781,0,5,12,30
135,0.01347,0.01365,0.00624,0.00982,0.05210,109.20973279,210.63195935,0,1,1,6
483,0.01898,0.01306,0.00815,0.00857,0.08496,25.632640195,28.97361509,0,1,5,12
75,0.00965,0.00731,0.00221,0.01113,0.08167,0,12.836945114,0,1,4,12
54944,0.00835,0.00740,0.00140,0.00531,0.04549,5008.488068746,5008.49445764,0,1,2,6
64630,0.02416,0.00364,0.00439,0.11611,0.08167,2.986669056,16144.767513414,0,1,3,6
201,0.09256,0.11398,0.12104,0.02450,0.08266,75.514169478,3092.192516154,0,1,1,6
25,0.00464,0.01589,0.01204,0.01094,0.08502,-16.250831934,347.2913236775,4.25531914893617,3,8,21
74243,0.00135,0.00633,0.00021,0.00166,0.08167,541.147788296,544.25556856,0,1,3,6
655,0.00331,0.02263,0.00023,0.00109,0.08496,3775.67031811086,5663.528651788,3.73831775700935,1,42,81
55548,0.04398,0.11579,0.12258,0.11713,0.08167,511.718339508,13290.353348016,0,1,3,6
78015,0.01115,0.02263,0.01114,0.00751,0.08496,3922.774175286,4259.781120536,19.0476190476191,1,2,6
14,0.00667,0.01589,0.00969,0.01338,0.08496,58.5957428173333,492.637963473333,0,2,15,33
498,0.16068,0.12103,0.13236,0.11952,0.08528,7398.004727026,11976.527222644,0,1,3,6
466,0.02294,0.02602,0.00245,0.11634,0.08227,34.498480621,4964.614868003,0,2,6,12
11,0.01209,0.01589,0.01204,0.01107,0.08502,0.250463163333333,88.89444516,0,2,8,18
246,0.01097,0.02263,0.00175,0.00552,0.08496,153.264030389,1530.9695146645,8.88888888888889,3,10,21
72759,0.00032,0.02263,0.00072,0.00002,0.04549,4668.636676776,5366.464178238,0,1,3,6
259,0.03238,0.01050,0.00949,0.11645,0.08266,85.8689598285,2908.537362341,0,3,19,39
77052,0.00491,0.02263,0.00148,0.00488,0.08522,2.142501714,284.71529435,0,1,2,6
651,0.01000,0.02263,0.01107,0.00497,0.08496,21.994184262,687.00834534,0,1,2,3
15400,0.00026,0.02263,0.00028,0.00036,0.04806,69.500285378,382.493341728,0,1,5,6
88614,0.03279,0.01112,0.00927,0.11611,0.08167,222.220597471714,2140.88765989743,10.1694915254237,2,9,21
523,0.10744,0.11941,0.13311,0.11870,0.08266,0.549722662,3850.457230588,20,1,2,3
100,0.05801,0.03366,0.01579,0.11635,0.08281,61.4021697084,644.2049452484,0,1,9,15
73605,0.02798,0.00463,0.00298,0.11611,0.08266,7.88658038333333,1252.19870706267,0,3,8,9
