Assignee,L1,L2 - D1,L2 - D2,L3,L4,Avg Fixed,Avg Closed,Avg Reopened,Total Components,Priority Points,Severity Points
550,0.04030,0.07685,0.05516,0.05603,0.07926,1326.57190020567,13348.3387965673,0,2,11,36
959,0.06817,0.08365,0.08482,0.07221,0.07972,766.496813953,14956.398475741,12.9032258064516,1,4,12
167,0.03656,0.08563,0.08613,0.07948,0.08008,2493.3800572996,17181.8492501994,1.76991150442478,5,30,60
306,0.01943,0.06542,0.06758,0.03754,0.07881,879.558889816,10392.0606667152,3.27868852459016,1,14,30
666,0.04435,0.08453,0.07913,0.06534,0.07972,1175.70178821857,11802.9960729111,5.88235294117647,1,27,42
1918,0.02065,0.06027,0.04669,0.06446,0.08035,495.490855529526,9725.93111130863,4.29594272076372,2,86,228
1060,0.02161,0.07698,0.07683,0.07577,0.07972,257.051621211667,7662.547363149,0,1,12,36
560,0.03945,0.07916,0.07103,0.08015,0.07972,1976.494173462,16778.307779624,0,1,4,6
807,0.00911,0.06441,0.02797,0.03640,0.07890,863.867241316,14735.619185562,0,1,3,6
1896,0.03239,0.07889,0.07961,0.08324,0.07972,2760.46364620425,15320.353196327,0,1,30,48
187,0.02046,0.06581,0.04660,0.08444,0.08008,1067.6272793996,10204.72778156,0,4,14,30
988,0.06763,0.08187,0.08434,0.08492,0.08008,2489.6447925825,11677.2775183831,0,1,44,96
270,0.07271,0.08581,0.08715,0.09325,0.08035,979.802459728836,7709.81415162829,0.342465753424657,3,141,330
1229,0.01121,0.07557,0.02533,0.00410,0.04316,303.80417931,14679.850568236,0,1,2,6
263,0.01606,0.06466,0.06770,0.05488,0.07908,1289.907226948,12563.020008816,0,1,5,12
632,0.00665,0.03148,0.02331,0.07379,0.06444,967.846534055,12961.317778832,0,1,4,12
1090,0.03975,0.08119,0.08050,0.07987,0.07972,240.737778368,8256.141944558,0,2,4,12
219,0.04066,0.08119,0.08053,0.08199,0.07972,1019.00399465875,14099.6061479182,0,5,26,48
51,0.08102,0.08556,0.08528,0.09091,0.08008,797.0937780128,11517.2292278652,4.48598130841122,8,120,300
2903,0.06071,0.08062,0.08129,0.09190,0.08035,48.69583389,12791.924741362,11.4285714285714,1,3,6
338,0.06541,0.08665,0.08879,0.08054,0.07965,1606.940573908,12364.110003288,0,1,3,6
218,0.06675,0.08193,0.08543,0.09016,0.08008,3641.67102290045,10079.1259345169,0.99009900990099,3,60,132
182,0.15493,0.08653,0.09279,0.09896,0.08035,2834.877407576,8964.68389050267,0,3,20,54
36,0.11257,0.08627,0.09228,0.09435,0.08035,1722.200421627,10797.399590853,0,1,4,12
124,0.12733,0.08629,0.09266,0.09593,0.08035,62.3282458033333,9598.04991224733,0,2,8,18
1065,0.07888,0.08267,0.08741,0.09268,0.08035,90.338070226,11126.739734014,0,1,2,6
2764,0.01372,0.05758,0.03853,0.04975,0.07920,295.896811873,6793.033195271,0,2,5,12
125,0.06052,0.08200,0.08500,0.06714,0.07999,12965.877365813,68767.543195679,0,1,12,24
2587,0.02140,0.07947,0.07826,0.05585,0.07803,1.347084411,3191.586398158,0,2,4,12
1899,0.14964,0.08663,0.09290,0.09873,0.08035,78.896672184,78.90694997,0,1,2,6
248,0.00989,0.01021,0.00625,0.06370,0.07890,135.701252961,789.835007868,0,2,6,12
2318,0.03852,0.08130,0.08522,0.01824,0.07890,637.217232796,9877.077232684,0,1,4,6
3636,0.01690,0.06868,0.07090,0.01552,0.06444,174.14444936,10035.238335924,0,1,2,6
142,0.06616,0.08330,0.08752,0.08562,0.08008,1311.47754907833,7641.36810294633,2.38095238095238,2,13,36
32,0.04696,0.07953,0.08452,0.06298,0.07929,1972.987226212,2493.57779504,0,1,3,6
337,0.08156,0.08622,0.09134,0.08960,0.08008,377.946113948,4721.0667243556,0,5,15,30
78,0.02428,0.08119,0.04729,0.07939,0.08035,1148.981391274,14745.1940973775,2.5,3,25,48
215,0.00364,0.04152,0.00193,0.04022,0.07712,0,30467.873342832,12.5,1,3,6
83,0.04640,0.08246,0.06971,0.07048,0.08008,4081.830279242,6156.1331251065,0,2,8,24
185,0.05330,0.08586,0.08981,0.07904,0.07972,4704.858472909,9686.898891208,0,2,4,12
1273,0.01952,0.08165,0.07137,0.00977,0.07972,478.636684776,478.645018116,0,1,4,6
19,0.00293,0.07740,0.03028,0.02798,0.07972,115.283070982,356.410016328,0,1,2,6
242,0.01048,0.03148,0.02331,0.05679,0.07712,53260.752503802,61484.269182882,0,1,3,6
1900,0.07181,0.08620,0.08572,0.07508,0.08008,215.1863235935,293.1374346655,0,4,7,24
1040,0.01112,0.01436,0.01640,0.00556,0.07251,11946.520292594,11946.578903752,0,1,3,6
132,0.02363,0.04938,0.05651,0.08000,0.07999,31151.82224128,58534.32918453,0,1,2,6
324,0.11503,0.08382,0.08916,0.09434,0.08035,4106.732779964,4247.243351928,0,1,3,6
71697,0.01900,0.07557,0.02894,0.02630,0.07712,37103.881685772,42174.577227484,0,1,2,6
