Assignee,L1,L2 - D1,L2 - D2,L3,L4,Avg Fixed,Avg Closed,Avg Reopened,Total Components,Priority Points,Severity Points
48,0.07691,0.08186,0.09192,0.07400,0.06421,300.578890418667,9125.42367291178,0,6,25,54
3,0.16443,0.09333,0.10380,0.09663,0.06436,149.130774442667,5996.38124580533,3.6,15,68,198
153,0.12149,0.07940,0.09781,0.09122,0.06421,774.090914828286,7488.716945018,3.6036036036036,6,11,42
184,0.15112,0.09291,0.10397,0.09643,0.06421,339.250341763909,6051.24140236282,0.843881856540084,13,51,132
462,0.03991,0.08081,0.08840,0.08731,0.06411,6.37241250533333,3104.66463016133,0,1,8,18
6,0.14953,0.09217,0.10482,0.09848,0.06436,628.845450757586,6968.18639905793,2.94117647058823,15,66,174
503,0.12900,0.08773,0.10225,0.09152,0.06436,1408.2271561595,6676.240836726,0,2,11,24
1888,0.05103,0.06246,0.04972,0.07707,0.06436,921.44479444828,14006.4597000478,1.26742712294043,2,425,900
886,0.09226,0.08045,0.08510,0.09385,0.06411,424.450074434133,8858.17785231413,2.66075388026607,7,66,180
40,0.02143,0.06000,0.07032,0.03911,0.06421,281.42845567432,18404.1613777789,3.18906605922551,2,129,300
501,0.11381,0.08006,0.08373,0.09213,0.06436,1019.75374810932,9936.92157706957,2.20588235294118,4,175,390
88,0.03776,0.06640,0.05338,0.07668,0.06232,5733.48481920267,15364.0742625187,0,3,9,18
180,0.14159,0.08826,0.09828,0.09969,0.06436,1079.14750145133,8515.88077257622,1.34228187919463,6,21,54
46,0.11862,0.08043,0.09687,0.09616,0.06421,749.898317090875,10669.3464941328,2.73972602739726,7,35,96
73,0.13030,0.07573,0.09213,0.09052,0.06436,2615.25849505447,14506.1443990763,2.78637770897833,8,153,330
47,0.06932,0.08106,0.07716,0.09223,0.06421,175.713952082273,8161.45619978718,5.26315789473684,5,60,132
123,0.18147,0.08861,0.09600,0.10412,0.06436,1792.11447550648,21010.5514211871,2.02408403791955,9,1854,4071
707,0.08896,0.08573,0.09460,0.08752,0.06436,234.530278522,1484.45759359867,0,4,37,90
258,0.10395,0.07852,0.09675,0.09216,0.06411,740.436894579818,7653.06532855327,0.75187969924812,7,56,132
375,0.12088,0.08649,0.09788,0.09368,0.06421,823.750372304,7128.10574082533,3.2,5,26,54
60,0.08202,0.08313,0.09640,0.08782,0.06421,-3713.296383526,1050.315570208,3.2258064516129,1,2,6
285,0.12778,0.08797,0.08197,0.09624,0.06436,511.99433951197,9057.46172980373,1.52671755725191,13,147,396
82,0.10360,0.08676,0.08602,0.09229,0.06436,142.965425439,9227.042647723,8.33333333333333,1,5,12
145,0.09192,0.06841,0.07429,0.09300,0.06421,504.063830254507,8965.40177638778,1.78343949044586,7,186,426
183,0.14717,0.08849,0.09737,0.09882,0.06436,97.8690014952,2276.921945822,0,3,16,30
155,0.05953,0.07885,0.08764,0.09051,0.06425,841.0075702505,6560.006251605,3.17460317460317,4,12,24
77,0.06533,0.06397,0.08280,0.08796,0.06411,308.077902363556,1888.56787082467,0,4,23,54
1310,0.06524,0.08493,0.09362,0.09529,0.06436,500.412787163016,8300.20413034764,1.48148148148148,7,141,366
310,0.10627,0.08475,0.08980,0.09853,0.06421,549.259787356766,8245.48537828145,3.45268542199488,16,359,840
664,0.09110,0.08583,0.09334,0.08392,0.06232,616.620281474,6149.750976823,0,1,5,12
416,0.02535,0.07359,0.06368,0.04651,0.06421,3097.34096784365,20196.2039085401,1.65745856353591,3,75,174
944,0.09914,0.08301,0.09906,0.07497,0.06411,3836.32599461,11192.3018265526,2.12765957446808,4,22,42
380,0.10613,0.08438,0.09813,0.09483,0.06421,2193.72342730467,7420.34663714644,5,6,23,54
1344,0.10911,0.08522,0.09780,0.09167,0.06436,104.422584074755,756.902688858,0.732600732600733,2,108,318
136,0.10572,0.08232,0.08920,0.09836,0.06436,1614.08146004251,10336.2946244187,0.74487895716946,13,147,303
504,0.04550,0.08232,0.08628,0.07985,0.06411,648.047932137111,6560.10061736444,3.6036036036036,6,17,54
320,0.03736,0.05747,0.03704,0.05936,0.06421,1753.03052973831,17462.9760896906,1.08459869848156,3,177,384
42,0.14173,0.08545,0.09030,0.09640,0.06436,557.680514235191,8814.86491743898,2.72904483430799,11,123,282
166,0.08738,0.08393,0.09033,0.09398,0.06436,554.441047484462,7514.82688112646,0,4,28,78
173,0.06791,0.07757,0.09218,0.08908,0.06436,240.462876187294,9067.49768065435,0,4,49,102
2,0.11792,0.08457,0.09289,0.08625,0.06421,960.1251112112,6432.1102223104,0,4,12,30
18,0.10214,0.08362,0.09623,0.09282,0.06436,753.884919689417,7838.06275467983,4.21940928270042,11,67,144
191,0.02101,0.02882,0.01082,0.02106,0.06411,3.353891572,9482.26666848,0,1,2,6
