Assignee,L1,L2 - D1,L2 - D2,L3,L4,Avg Fixed,Avg Closed,Avg Reopened,Total Components,Priority Points,Severity Points
48,0.12978,0.08969,0.09955,0.09805,0.07858,1136.15758733163,12362.3919185163,2.5062656641604,11,75,192
3,0.14703,0.09091,0.10165,0.09870,0.07858,722.657409227535,12860.496051807,2.461257976299,28,425,954
153,0.12189,0.08811,0.09765,0.09707,0.07854,875.9386536887,11657.2458753567,4.22535211267606,9,38,120
184,0.14170,0.09033,0.10096,0.09787,0.07854,627.923561903929,11305.2134229041,0.673400673400673,14,74,168
462,0.05724,0.08684,0.09202,0.06108,0.07651,26.285557384,3508.9988334924,5.63380281690141,2,17,30
6,0.14345,0.09075,0.09994,0.09769,0.07858,927.675315654208,12653.6719600832,4.95356037151703,21,297,750
503,0.13683,0.09086,0.10124,0.09787,0.07854,19.858756287,12163.094172342,0,2,4,12
1888,0.04833,0.07682,0.06622,0.08617,0.07854,1016.95284078036,14727.6875630322,1.50618612157074,2,487,1032
886,0.10396,0.08727,0.09041,0.09600,0.07854,750.98026563377,12901.5148304909,3.07125307125307,8,262,678
40,0.04076,0.08201,0.08287,0.07737,0.07830,963.227315263333,11792.178889032,0,2,24,54
501,0.11536,0.08923,0.09484,0.09647,0.07854,729.20109807706,12185.1804959839,1.69222633527234,3,407,894
1893,0.02905,0.07627,0.07322,0.07609,0.07830,419.0988235235,6180.9304868555,3.77358490566038,1,9,24
88,0.04194,0.07453,0.08163,0.07438,0.07830,5710.505003604,12998.799307795,0,3,13,24
180,0.12271,0.09056,0.09438,0.09712,0.07854,1165.99975880174,10256.3597222317,0.704225352112676,8,51,138
46,0.11848,0.08879,0.09605,0.09724,0.07854,478.531179021576,17800.8706230103,3.56234096692112,7,65,198
73,0.09045,0.08635,0.08414,0.09686,0.07830,1288.886724095,14073.6089869918,2.41610738255034,8,172,408
35,0.08564,0.08613,0.09338,0.09484,0.07830,79.9064657352727,15872.5811379922,1.70940170940171,1,25,66
47,0.12523,0.08795,0.09415,0.09830,0.07854,460.403842088,14382.1465428974,1.88679245283019,12,460,996
123,0.12688,0.09056,0.09903,0.09915,0.07854,3005.40721263172,21622.8760809344,3.4925732637495,11,1031,2430
