Assignee,L1,L2 - D1,L2 - D2,L3,L4,Avg Fixed,Avg Closed,Avg Reopened,Total Components,Priority Points,Severity Points
2318,0.02898,0.07120,0.07436,0.01260,0.06880,637.217232796,9877.077232684,0,1,4,6
3636,0.01342,0.05967,0.05937,0.01092,0.05727,174.14444936,10035.238335924,0,1,2,6
142,0.07021,0.07596,0.07938,0.07719,0.07049,383.8370342855,10280.6516171276,1.54440154440154,5,70,168
32,0.03910,0.06812,0.07302,0.05108,0.06934,1972.987226212,2493.57779504,0,1,3,6
337,0.06285,0.07624,0.08177,0.07705,0.07049,377.946113948,4721.0667243556,0,5,15,30
78,0.05887,0.07498,0.07882,0.07660,0.07066,1021.31679224356,14156.6056496993,2.29885057471264,3,29,54
215,0.04796,0.07424,0.07532,0.07694,0.07030,1253.29868607485,9493.54381957181,2.87081339712919,14,144,312
83,0.07180,0.07453,0.07617,0.08378,0.07049,1378.8101114392,10135.7715745313,3.30578512396694,9,78,180
185,0.10546,0.07712,0.08340,0.08412,0.07066,507.702248912779,11679.6228963166,2.89455547898001,16,326,816
1273,0.01637,0.07096,0.06155,0.00710,0.06963,478.636684776,478.645018116,0,1,4,6
19,0.00182,0.06768,0.02894,0.02110,0.06963,115.283070982,356.410016328,0,1,2,6
242,0.00860,0.03377,0.02288,0.05572,0.06824,53260.752503802,61484.269182882,0,1,3,6
1900,0.07215,0.07767,0.08171,0.08054,0.07049,321.8048334972,7692.1645563272,3.20855614973262,8,26,90
1040,0.01659,0.06222,0.03867,0.00818,0.06880,11946.520292594,11946.578903752,0,1,3,6
132,0.04999,0.06785,0.05394,0.08140,0.07066,11217.9812978813,49598.0771344913,0,2,7,18
324,0.11618,0.07807,0.08487,0.08578,0.07066,4106.732779964,4247.243351928,0,1,3,6
71697,0.01485,0.06494,0.02795,0.02261,0.06824,37103.881685772,42174.577227484,0,1,2,6
223,0.04236,0.07283,0.07562,0.04020,0.06900,2861.65417119,2861.658615638,0,1,4,6
759,0.03143,0.06893,0.05973,0.06867,0.07030,1404.612787868,1418.685557704,0,1,2,6
126,0.06736,0.07571,0.07737,0.08234,0.07046,1058.61759468667,18799.968892064,0,4,17,36
